Descripter, Scale
Absorbed, 60
Accepting, 55
Aggressive, 25
Aggrieved, 20
Amazing, 90
Ambitious, 75
Amorous, 60
Angry, 20
Animated, 50
Antagonistic, 30
Anxious, 25
Apathetic, 55
Appreciative, 70
Apprehensive, 45
Argumentative, 40
Arrogant, 35
Ashamed, 20
Audacious, 65
Awake, 50
Bad, 25
Belligerent, 20
Bemused, 60
Blissful, 80
Bold, 60
Bored, 45
Bothered, 40
Brash, 35
Bright, 60
Brooding, 50	
Bubbly, 65
Buoyant, 50
Calm, 50
Carefree, 55	
Charming, 65
Cheerful, 75
Chill, 55
Chipper, 60
Cold, 30
Combative, 35	
Comical, 60
Communicative, 60	
Companionable, 70
Competitive, 65
Complacent, 60
Composed, 60
Confident, 80
Confrontational, 30
Confused, 45
Contemplative, 40	
Cool, 60
Cordial, 75
Cranky, 25
Creative, 65
Curious, 60
Cynical, 30
Dark, 15
Dead, 0
Decisive, 55	
Dejected, 30
Demure, 50
Depleted, 25
Depressed, 10
Detached, 35
Determined, 65 
Devious, 40
Difficult, 40
Discontented, 35
Disgruntled, 30
Dispirited, 30
Down, 30
Downcast, 35
Drained, 25
Dreadful, 20
Dreamy, 65
Dumb, 30
Eager, 75
Emotional, 45
Empathetic, 55
Energetic, 65
Enthralled, 85
Enthusiastic, 80
Envious, 30
Erratic, 40
Exasperated, 50
Excited, 75
Exhausted, 30
Exuberant, 60
Fantastic, 90
Fascinated, 75
Fearful, 25
Fearless, 70
Festive, 75
Flamboyant, 65
Focused, 60
Fretful, 40
Friendly, 65
Frustrated, 25
Giddy, 70
Gloomy, 35
Glum, 30
Good, 75
Gracious, 75
Grateful, 70
Great, 85
Groggy, 35
Happy, 75
Heartbroken, 15
Hopeful, 70
Hospitable, 70
Hostile, 20
Imaginative, 55
Impulsive, 50
Indescribable, 50
Indifferent, 50
Indignant, 50
Insolent, 30
Introspective, 50
Invigorated, 60
Irritated, 40
Jealous, 30
Jovial, 65
Joyful, 70
Jubilant, 70
Lethargic, 25
Lighthearted, 60
Listless, 50
Lively, 75
Livid, 25
Lonesome, 20
Lost, 10
Loving, 70
Mad, 25
Meditative, 60
Melancholy, 35
Mellow, 40
Merry, 70
Mischievous, 50
Miserable, 10
Morose, 50
Mournful, 25	
Muddled, 50
Mystified, 60
Negative, 25
Nervous, 40
Nostalgic, 60
Numb, 10
Ominous, 45
Open, 60
Optimistic, 70
Ostentatious, 50
Outgoing, 60
Outraged, 25
Passionate, 80
Peaceful, 75
Pensive, 50
Peppy, 60
Pessimistic, 30
Philosophical, 60
Playful, 75
Pleasant, 70
Pleased, 70
Pompous, 50
Positive, 75
Pretentious, 40
Quarrelsome, 30
Rash, 25
Realistic, 50
Reckless, 30
Reflective, 55
Refreshed, 60
Regretful, 30
Rejected, 25
Rejuvenated, 75
Relaxed, 55
Remote, 50
Resentful, 20
Reserved, 50
Restless, 40
Reverent, 50
Romantic, 75
Sad, 25
Sanguine, 50
Satisfied, 75
Sedate, 50
Sensitive, 25
Sentimental, 60
Serene, 75
Serious, 50
Shy, 45
Silly, 60
Snobbish, 40
Sociable, 70
Somber, 40
Sorrowful, 35	
Spirited, 65
Starving, 20
Strange, 45
Sunny, 55
Sympathetic, 55
Talkative, 50
Temperamental, 30
Tender, 55
Tense, 40
Terrific, 90
Terrible, 10
Thankful, 75
Thoughtful, 70
Troubled, 30
Uncomfortable, 40
Understanding, 60
Uneasy, 40
Unfeeling, 50
Unfriendly, 35
Unhappy, 30
Untroubled, 50
Upbeat, 60
Uptight, 50
Vigorous, 50
Vivacious, 50
Warm, 65
Weary, 45
Whimsical, 70
Wistful, 40
Withdrawn, 30
Worried, 30
Wretched, 10
